level_0,database,station,date,depth,lat,lon,ntr0,temp,sal,p,SA,CT,sigth,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,TIME,latitude,longitude,CTDPRS,CTDPRS_FLAG_W,BTLDPTH,BTLDPTH_FLAG_W,CHLORA,CHLORA_FLAG_W,CHLORA_STDEV,CHLORA_STDEV_FLAG_W,PPHYTIN,PPHYTIN_FLAG_W,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NH4,NH4_FLAG_W,PHSPHT,PHSPHT_FLAG_W,SILCAT,SILCAT_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,FLUOR,FLUOR_FLAG_W,XMISS,XMISS_FLAG_W,SALT,SALT_FLAG_W,mld,nc0,nc,delta_sigth,N2_30_100,doy,month,deltanc,deltanc0,year,season,reg_name,reg_idx
8607,codispoti, 33RO200306_01+71063,2003-06-20,0.0,62.3333,-19.9998,5.5,10.67,35.26,1.009702987825601,35.42729480905519,10.654462274002219,27.040703060357373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.0,22.0,0.19110311267570523,5.160194292744651e-05,171,6,-14.0,-36.0,2003,,,
8758,codispoti, 33RO200306_01+71064,2003-06-20,0.0,61.8328,-19.9992,5.68,10.53,35.25,1.009664357326067,35.4172124723311,10.514755946782081,27.05774722820047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,0.0,30.0,0.20628379934830932,1.704115308548748e-05,171,6,-4.0,-34.0,2003,,,
8909,codispoti, 33RO200306_01+71065,2003-06-21,0.0,61.613,-20.0,4.41,11.09,35.25,2.019299449474781,35.41719238530514,11.074380873896024,26.957088318393517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,0.0,28.0,0.14987857438563879,6.477021995221053e-05,172,6,-6.0,-34.0,2003,,,
9060,codispoti, 33RO200306_01+71066,2003-06-21,0.0,61.3335,-19.9988,3.23,11.33,35.25,1.0096253713719379,35.417169698107166,11.314234874815282,26.912976919545372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,0.0,30.0,0.18231799577678842,7.547954190137246e-05,172,6,-4.0,-34.0,2003,,,
9211,codispoti, 33RO200306_01+71067,2003-06-21,0.0,61.0007,-20.0018,3.78,11.26,35.22,2.019203236523188,35.38699779044005,11.244884924332657,26.902529843437833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0.0,26.0,0.20348175021852555,0.00010223992626900972,172,6,-2.0,-28.0,2003,,,
9362,codispoti, 33RO200306_01+71068,2003-06-21,0.0,60.5007,-20.0,2.68,11.76,35.25,1.009559382099018,35.41709847302636,11.743995863111172,26.83249094961343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0.0,22.0,0.08008439450092908,8.449173519259898e-05,172,6,0.0,-22.0,2003,,,
9513,codispoti,1076+682293,1973-05-29,0.0,63.725,-68.528,7.3,1.7,31.1,1.0098079419480397,31.24741818016549,1.7230683500336903,24.870539621191938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,149,5,,-10.0,1973,,,
9664,codispoti,1076+688097,1973-08-15,0.0,63.725,-68.528,0.0,,30.22,0.5049039709740198,30.36324539398258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,8,,,1973,summer,,
9815,codispoti,1076+688665,1973-08-23,0.0,63.667,-68.45,0.1,,31.919999999999998,0.5049018212260957,32.071302707007405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,,,235,8,,,1973,summer,,
9966,codispoti,10880+6832579,1978-07-23,0.0,64.998,-168.582,0.99,8.2,31.08,0.0,31.22729372341951,8.252698124704924,24.170864402176903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,14.0,,,204,7,2.0,0.0,1978,summer,,
